Arkansas,State Hospitals[edit],Arkansas State Hospital,https://www.asylumprojects.org/index.php?title=Arkansas_State_Hospital
Arkansas,State Hospitals[edit],Baptist State Hospital,https://www.asylumprojects.org/index.php?title=Baptist_State_Hospital
Arkansas,State Hospitals[edit],Benton State Hospital,https://www.asylumprojects.org/index.php?title=Benton_State_Hospital
Arkansas,State Schools[edit],Arkansas Children's Colony,https://www.asylumprojects.org/index.php?title=Arkansas_Children%27s_Colony
Arkansas,Reform Schools[edit],Arkansas Boys Industrial School,https://www.asylumprojects.org/index.php?title=Arkansas_Boys_Industrial_School
Arkansas,Reform Schools[edit],Arkansas Boys Industrial School for Negroes,https://www.asylumprojects.org/index.php?title=Arkansas_Boys_Industrial_School_for_Negroes
Arkansas,Reform Schools[edit],Arkansas Training School for Girls,https://www.asylumprojects.org/index.php?title=Arkansas_Training_School_for_Girls&action=edit&redlink=1
Arkansas,Private Institutions[edit],Resthaven Psychiatric Hospital,https://www.asylumprojects.org/index.php?title=Resthaven_Psychiatric_Hospital&action=edit&redlink=1
Arkansas,Private Institutions[edit],Searcy Female Institute,https://www.asylumprojects.org/index.php?title=Searcy_Female_Institute&action=edit&redlink=1
Arkansas,Sanitariums[edit],Arkansas Tuberculosis Sanitorium,https://www.asylumprojects.org/index.php?title=Arkansas_Tuberculosis_Sanitorium
Arkansas,Sanitariums[edit],Salasco Sanitarium,https://www.asylumprojects.org/index.php?title=Salasco_Sanitarium
Arkansas,Sanitariums[edit],Thomas McRae Tuberculosis Home,https://www.asylumprojects.org/index.php?title=Thomas_McRae_Tuberculosis_Home
Arkansas,County Institutions[edit],Benton County Poor Farm,https://www.asylumprojects.org/index.php?title=Benton_County_Poor_Farm
Arkansas,County Institutions[edit],Carroll County Poor House,https://www.asylumprojects.org/index.php?title=Carroll_County_Poor_House&action=edit&redlink=1
Arkansas,County Institutions[edit],Clay County Poor House,https://www.asylumprojects.org/index.php?title=Clay_County_Poor_House&action=edit&redlink=1
Arkansas,County Institutions[edit],Cleburne County Poor Farm,https://www.asylumprojects.org/index.php?title=Cleburne_County_Poor_Farm&action=edit&redlink=1
Arkansas,County Institutions[edit],Independence County Poor Farm,https://www.asylumprojects.org/index.php?title=Independence_County_Poor_Farm&action=edit&redlink=1
Arkansas,County Institutions[edit],Jackson County Poorhouse,https://www.asylumprojects.org/index.php?title=Jackson_County_Poorhouse&action=edit&redlink=1
Arkansas,County Institutions[edit],Pope County Poor Farm,https://www.asylumprojects.org/index.php?title=Pope_County_Poor_Farm&action=edit&redlink=1
California,State Hospitals[edit],Agnews State Hospital,https://www.asylumprojects.org/index.php?title=Agnews_State_Hospital
California,State Hospitals[edit],Atascadero State Hospital,https://www.asylumprojects.org/index.php?title=Atascadero_State_Hospital
California,State Hospitals[edit],Camarillo State Hospital,https://www.asylumprojects.org/index.php?title=Camarillo_State_Hospital
California,State Hospitals[edit],Coalinga State Hospital,https://www.asylumprojects.org/index.php?title=Coalinga_State_Hospital
California,State Hospitals[edit],DeWitt State Hospital,https://www.asylumprojects.org/index.php?title=DeWitt_State_Hospital
California,State Hospitals[edit],Mendocino State Hospital,https://www.asylumprojects.org/index.php?title=Mendocino_State_Hospital
California,State Hospitals[edit],Modesto State Hospital,https://www.asylumprojects.org/index.php?title=Modesto_State_Hospital
California,State Hospitals[edit],Napa State Hospital,https://www.asylumprojects.org/index.php?title=Napa_State_Hospital
California,State Hospitals[edit],Norwalk State Hospital,https://www.asylumprojects.org/index.php?title=Norwalk_State_Hospital
California,State Hospitals[edit],Patton State Hospital,https://www.asylumprojects.org/index.php?title=Patton_State_Hospital
California,State Hospitals[edit],Stockton State Hospital,https://www.asylumprojects.org/index.php?title=Stockton_State_Hospital
California,County Hospitals[edit],Braewood Convalescent Hospital,https://www.asylumprojects.org/index.php?title=Braewood_Convalescent_Hospital&action=edit&redlink=1
California,County Hospitals[edit],Edgemoor Farm,https://www.asylumprojects.org/index.php?title=Edgemoor_Farm
California,County Hospitals[edit],Hollydale Mental Hospital,https://www.asylumprojects.org/index.php?title=Hollydale_Mental_Hospital
California,County Hospitals[edit],Nevada County Hospital,https://www.asylumprojects.org/index.php?title=Nevada_County_Hospital
California,County Hospitals[edit],Relief Home for Aged and Infirm,https://www.asylumprojects.org/index.php?title=Relief_Home_for_Aged_and_Infirm
California,County Hospitals[edit],San Diego Psychiatric Hospital,https://www.asylumprojects.org/index.php?title=San_Diego_Psychiatric_Hospital&action=edit&redlink=1
California,County Hospitals[edit],San Francisco Municipal Pyschopathic Hospital,https://www.asylumprojects.org/index.php?title=San_Francisco_Municipal_Pyschopathic_Hospital
California,State Schools[edit],Canyon Springs,https://www.asylumprojects.org/index.php?title=Canyon_Springs&action=edit&redlink=1
California,State Schools[edit],Fairview Developmental Center,https://www.asylumprojects.org/index.php?title=Fairview_Developmental_Center
California,State Schools[edit],Lanterman Developmental Center,https://www.asylumprojects.org/index.php?title=Lanterman_Developmental_Center
California,State Schools[edit],Pacific State Hospital,https://www.asylumprojects.org/index.php?title=Pacific_State_Hospital
California,State Schools[edit],Porterville State Hospital,https://www.asylumprojects.org/index.php?title=Porterville_State_Hospital
California,State Schools[edit],Sierra Vista,https://www.asylumprojects.org/index.php?title=Sierra_Vista&action=edit&redlink=1
California,State Schools[edit],Sonoma State Home,https://www.asylumprojects.org/index.php?title=Sonoma_State_Home
California,Reform Schools[edit],El Paso de Robles School for Boys,https://www.asylumprojects.org/index.php?title=El_Paso_de_Robles_School_for_Boys&action=edit&redlink=1
California,Reform Schools[edit],Fort Bidwell Indian School,https://www.asylumprojects.org/index.php?title=Fort_Bidwell_Indian_School&action=edit&redlink=1
California,Reform Schools[edit],Preston School of Industry,https://www.asylumprojects.org/index.php?title=Preston_School_of_Industry
California,Reform Schools[edit],San Francisco Industrial School,https://www.asylumprojects.org/index.php?title=San_Francisco_Industrial_School
California,Reform Schools[edit],Rehoboth Indian Mission School,https://www.asylumprojects.org/index.php?title=Rehoboth_Indian_Mission_School&action=edit&redlink=1
California,Reform Schools[edit],State Reform School for Boys at Marysville,https://www.asylumprojects.org/index.php?title=State_Reform_School_for_Boys_at_Marysville
California,Reform Schools[edit],Ventura School for Girls,https://www.asylumprojects.org/index.php?title=Ventura_School_for_Girls
California,Reform Schools[edit],Whittier State School,https://www.asylumprojects.org/index.php?title=Whittier_State_School
California,Federal Government Institutions[edit],Brentwood Veterans Administration Hospital,https://www.asylumprojects.org/index.php?title=Brentwood_Veterans_Administration_Hospital
California,Private Institutions[edit],Ahwahnee Hills School for Boys,https://www.asylumprojects.org/index.php?title=Ahwahnee_Hills_School_for_Boys
California,Private Institutions[edit],Alexander Sanitarium,https://www.asylumprojects.org/index.php?title=Alexander_Sanitarium&action=edit&redlink=1
California,Private Institutions[edit],Banksia Place Sanatorium,https://www.asylumprojects.org/index.php?title=Banksia_Place_Sanatorium&action=edit&redlink=1
California,Private Institutions[edit],Barker Sanitarium,https://www.asylumprojects.org/index.php?title=Barker_Sanitarium&action=edit&redlink=1
California,Private Institutions[edit],Bird Haven,https://www.asylumprojects.org/index.php?title=Bird_Haven&action=edit&redlink=1
California,Private Institutions[edit],Canyon Crest Sanitarium,https://www.asylumprojects.org/index.php?title=Canyon_Crest_Sanitarium&action=edit&redlink=1
California,Private Institutions[edit],Clark's Sanitarium,https://www.asylumprojects.org/index.php?title=Clark%27s_Sanitarium&action=edit&redlink=1
California,Private Institutions[edit],Compton Sanitarium,https://www.asylumprojects.org/index.php?title=Compton_Sanitarium&action=edit&redlink=1
California,Private Institutions[edit],Dr. Hare’s Private Sanitarium,https://www.asylumprojects.org/index.php?title=Dr._Hare%E2%80%99s_Private_Sanitarium
